"G: 16000, DT: 0.0007"		x	y	vx	vy	p_mag	v_mag
	100000.01	-89.08273156	44.7414976	899.0036135	1793.582857	99.68718409	2006.276891
	100000.01	-87.7713746	47.22570814	949.1847563	1767.935255	99.66986359	2006.625717
	100000.01	-86.39052233	49.67252633	998.6403261	1740.874339	99.65280839	2006.969348
	100000.01	-84.94123297	52.07999466	1047.329983	1712.420315	99.63603215	2007.307507
	100000.01	-83.42462062	54.44618513	1095.213931	1682.594572	99.61954829	2007.639921
	100000.01	-81.84185451	56.76920092	1142.252958	1651.419667	99.60337003	2007.966319
	100000.01	-80.1941581	59.04717798	1188.408467	1618.919308	99.58751037	2008.286436
	100000.01	-78.48280823	61.27828668	1233.642514	1585.118343	99.57198204	2008.600014
	100000.01	-76.70913411	63.46073334	1277.917846	1550.042739	99.55679752	2008.906795
	100000.01	-74.87451638	65.59276179	1321.197929	1513.719563	99.54196905	2009.206531
	100000.01	-72.980386	67.67265489	1363.446992	1476.176967	99.52750857	2009.498977
	100000.01	-71.02822322	69.69873604	1404.630051	1437.44416	99.51342773	2009.783892
	100000.01	-69.01955637	71.6693706	1444.712951	1397.551393	99.49973791	2010.061046
	100000.01	-66.95596071	73.58296738	1483.662393	1356.529931	99.48645015	2010.330209
	100000.01	-64.8390572	75.43797999	1521.445968	1314.412031	99.47357521	2010.591162
	100000.01	-62.67051119	77.23290822	1558.03219	1271.230916	99.46112349	2010.84369
	100000.01	-60.45203113	78.96629934	1593.390525	1227.020746	99.44910507	2011.087586
	100000.01	-58.18536716	80.63674945	1627.49142	1181.816597	99.4375297	2011.322648
	100000.01	-55.87230977	82.24290463	1660.306337	1135.654424	99.42640676	2011.548683
	100000.01	-53.51468828	83.78346224	1691.807773	1088.571037	99.41574527	2011.765504
	100000.01	-51.11436943	85.25717202	1721.969296	1040.604068	99.40555389	2011.972933
	100000.01	-48.6732558	86.66283723	1750.765566	991.7919391	99.39584089	2012.170798
	100000.01	-46.19328426	87.99931572	1778.172363	942.1738317	99.38661418	2012.358935
	100000.01	-43.67642442	89.26552096	1804.166609	891.7896504	99.37788125	2012.537188
	100000.01	-39.83635366	91.03082919	1840.461841	814.8659712	99.36572315	2012.785716
	100000.01	-37.23608994	92.1169714	1862.831458	762.7456298	99.35825489	2012.938632
	100000.01	-34.60606535	93.12948915	1883.717086	710.004081	99.35130351	2013.081184
	100000.01	-31.94837612	94.06755757	1903.101065	656.6840509	99.34487467	2013.213254
	100000.01	-29.26514189	94.93041214	1920.966993	602.8287905	99.33897362	2013.334731
	100000.01	-26.55850394	95.71734944	1937.299742	548.4820372	99.33360516	2013.445514
	100000.01	-23.83062334	96.42772772	1952.085477	493.6879752	99.32877369	2013.545511
	100000.01	-21.08367921	97.06096755	1965.311663	438.4911963	99.32448313	2013.63464
	100000.01	-18.31986679	97.61655228	1976.967086	382.936659	99.320737	2013.712825
	100000.01	-15.54139565	98.0940286	1987.041857	327.0696483	99.31753836	2013.780002
	100000.01	-12.75048781	98.49300685	1995.52743	270.9357343	99.31488981	2013.836114
	100000.01	-9.949375813	98.81316146	2002.416605	214.5807306	99.31279352	2013.881116
