"G: 16000, DT: 0.0007",,x,y,vx,vy,p_mag,v_mag
,1,61.03780015,150.7434846,-4608.583188,-1310.674603,162.6321346,4791.336652
,1,54.25851364,148.543832,-4923.727551,-1666.03388,158.1431514,5197.957473
,1,46.99327269,145.7249501,-5281.626261,-2141.600677,153.1147569,5699.300784
,1,39.18607583,142.049913,-5677.312141,-2805.820861,147.3557815,6332.811686
,1,30.8179977,137.1359267,-6073.961196,-3777.063627,140.5560791,7152.56697
,1,22.02140764,130.3576579,-6329.914928,-5248.002041,132.2046193,8222.490402
,1,9.661112328,114.7191423,-5362.87224,-8687.478159,115.1252306,10209.44051
,1,4.695683118,100.2839011,-2819.253393,-10740.99192,100.393776,11104.82315
,1,3.940571683,84.75531468,171.2729114,-11065.29361,84.84687072,11066.61905
,1,6.388616189,70.01649694,2180.900948,-10309.76866,70.30735566,10537.9153
,1,10.65059496,56.5313669,3273.959795,-9413.937343,57.52591257,9966.996992
,1,15.86627067,44.1505798,3845.073609,-8668.460565,46.91494689,9482.974197
,1,21.57304038,32.62910281,4136.385129,-8096.673639,39.11591008,9092.073799
,1,27.51426894,21.75690959,4269.510619,-7665.735262,35.07703109,8774.520957
,1,33.53652815,11.37511603,4305.93332,-7339.552043,35.41316119,8509.41161
,1,39.54114487,1.369071037,4279.081067,-7088.219264,39.5648391,8279.697283
,1,45.46170038,-8.341013329,4209.347612,-6888.442213,46.22054418,8072.746957
,1,51.2534331,-17.80844768,4110.922004,-6722.698103,54.25914866,7879.996796
,1,56.88781182,-27.06729609,3994.671848,-6578.43366,62.99890198,7696.310323
,1,62.34906445,-36.13849839,3869.168607,-6447.263388,72.06522673,7519.153603
,1,67.63130728,-45.03476965,3740.985732,-6324.071008,81.25345655,7347.710416
,1,72.73590825,-53.7641933,3614.853115,-6206.075025,90.44943798,7182.097901
,1,77.66913712,-62.33259621,3493.885868,-6091.990656,99.58838994,7022.790657
,1,82.44022961,-70.74494495,3379.898657,-5981.381844,108.6335063,6870.272462
,1,87.05992289,-79.00605641,3273.743995,-5874.222932,117.5643956,6724.871359
,1,91.53943344,-87.1208841,3175.617301,-5770.636821,126.3705516,6586.713488
,1,95.88979845,-95.09457364,3085.300088,-5670.757946,135.0475153,6455.739486
,1,100.1214879,-102.9324112,3002.337162,-5574.672626,143.5945459,6331.745677
,1,106.2674976,-114.4461168,2890.419732,-5437.68698,156.1752051,6158.162544
,1,110.2430904,-121.9675845,2823.269486,-5351.047511,164.4069057,6050.17025
,1,114.1302643,-129.3715753,2761.39669,-5268.034054,172.5187576,5947.898324
,1,117.9358267,-136.6630219,2704.251938,-5188.507761,180.5149323,5850.9479
,1,121.6658666,-143.8466424,2651.334284,-5112.311396,188.3996805,5758.932305
,1,125.3258243,-150.9269241,2602.193186,-5039.278165,196.1772124,5671.484268
,1,128.9205612,-157.9081172,2556.426965,-4969.238301,203.8516239,5588.259847
,1,132.4544244,-164.7942355,2513.679443,-4902.023742,211.426854,5508.940107
,1,135.9313059,-171.5890628,2473.635774,-4837.471321,218.9066613,5433.231333
,1,139.3546963,-178.2961611,2436.01809,-4775.424812,226.2946143,5360.864321
,1,142.7277321,-184.9188827,2400.581257,-4715.736145,233.5940896,5291.593121
,1,146.0532368,-191.4603814,2367.108953,-4658.266022,240.8082756,5225.193502
,1,149.3337581,-197.9236256,2335.410106,-4602.884114,247.94018,5161.461279
,1,152.5715996,-204.3114104,2305.315733,-4549.468974,254.992638,5100.21064
,1,155.7688488,-210.6263702,2276.676165,-4497.907761,261.9683227,5041.272517
,1,158.9274017,-216.8709898,2249.358612,-4448.09585,268.8697552,4984.49304
,1,162.048984,-223.047616,2223.245058,-4399.936374,275.6993149,4929.732111
,1,165.1351698,-229.1584674,2198.230429,-4353.339727,282.4592493,4876.862085
,1,169.7011951,-238.2059814,2162.566732,-4286.195569,292.4732214,4800.850688
,1,172.7049259,-244.1613483,2139.91093,-4243.157134,299.0681451,4752.220665
,1,175.6777972,-250.0578313,2118.067195,-4201.41795,305.6004048,4705.116517
,1,178.6208783,-255.8971828,2096.971918,-4160.915062,312.0717647,4659.453334
,1,181.5351567,-261.6810722,2076.567965,-4121.590205,318.4839033,4615.153338
,1,184.4215457,-267.4110915,2056.803961,-4083.389425,324.8384189,4572.1452
,1,187.2808924,-273.0887618,2037.633651,-4046.262711,331.1368365,4530.363431
,1,190.1139837,-278.7155376,2019.015348,-4010.163664,337.3806125,4489.747831
,1,192.9215526,-284.2928122,2000.911454,-3975.04919,343.5711404,4450.242995
,1,195.7042834,-289.8219216,1983.288032,-3940.879215,349.7097551,4411.797865
,1,198.4628163,-295.3041487,1966.114427,-3907.616423,355.7977371,4374.365331
,1,201.1977516,-300.7407269,1949.362943,-3875.22602,361.8363167,4337.901864
,1,203.9096539,-306.1328432,1933.008541,-3843.67551,367.8266774,4302.367191
,1,206.5990551,-311.4816413,1917.028585,-3812.934499,373.7699592,4267.723994
,1,209.2664577,-316.7882245,1901.402602,-3782.974503,379.6672615,4233.93764
,1,211.9123377,-322.0536579,1886.112078,-3753.768782,385.519646,4200.975939
,1,214.537147,-327.278971,1871.140272,-3725.292187,391.3281389,4168.808918
,1,217.1413158,-332.4651596,1856.472044,-3697.521014,397.0937337,4137.408621
,1,219.7252546,-337.6131877,1842.093702,-3670.432875,402.8173929,4106.748921
,1,222.2893561,-342.7239891,1827.99287,-3644.006583,408.5000496,4076.805355
